buy_usdc,snusd_received,avg_price,borrowable_usdc,net_profit_usdc
14800.0000000000,6175.0148959882,2.3967553519,6009.9456578390,-8920.8318741610
14850.0000000000,6180.2241474448,2.4028254713,6015.0156566486,-8965.7618753514
14900.0000000000,6185.4071455605,2.4088955908,6020.0601039164,-9010.7174280836
14950.0000000000,6190.5640883021,2.4149657102,6025.0791923169,-9055.6983396831
15000.0000000000,6195.6951716509,2.4210358296,6030.0731125926,-9100.7044194074
15050.0000000000,6200.8005896274,2.4271059491,6035.0420535776,-9145.7354784224
15100.0000000000,6205.8805343164,2.4331760685,6039.9862022217,-9190.7913297783
15150.0000000000,6210.9351958903,2.4392461879,6044.9057436139,-9235.8717883861
15200.0000000000,6215.9647626335,2.4453163074,6049.8008610052,-9280.9766709948
15250.0000000000,6220.9694209653,2.4513864268,6054.6717358317,-9326.1057961683
15300.0000000000,6225.9493554631,2.4574565462,6059.5185477367,-9371.2589842633
15350.0000000000,6230.9047488852,2.4635266656,6064.3414745931,-9416.4360574069
15400.0000000000,6235.8357821931,2.4695967851,6069.1406925248,-9461.6368394752
15450.0000000000,6240.7426345734,2.4756669045,6073.9163759285,-9506.8611560715
15500.0000000000,6245.6254834596,2.4817370239,6078.6686974947,-9552.1088345053
15550.0000000000,6250.4845045536,2.4878071434,6083.3978282283,-9597.3797037717
15600.0000000000,6255.3198718464,2.4938772628,6088.1039374694,-9642.6735945307
15650.0000000000,6260.1317576395,2.4999473822,6092.7871929133,-9687.9903390867
15700.0000000000,6264.9203325647,2.5060175017,6097.4477606307,-9733.3297713693
15750.0000000000,6269.6857656046,2.5120876211,6102.0858050870,-9778.6917269130
15800.0000000000,6274.4282241126,2.5181577405,6106.7014891619,-9824.0760428381
15850.0000000000,6279.1478738323,2.5242278600,6111.2949741683,-9869.4825578317
15900.0000000000,6283.8448789166,2.5302979794,6115.8664198712,-9914.9111121288
15950.0000000000,6288.5194019473,2.5363680988,6120.4159845061,-9960.3615474939
16000.0000000000,6293.1716039533,2.5424382183,6124.9438247974,-10005.8337072026
16050.0000000000,6297.8016444295,2.5485083377,6129.4500959764,-10051.3274360236
16100.0000000000,6302.4096813547,2.5545784571,6133.9349517988,-10096.8425802012
16150.0000000000,6306.9958712098,2.5606485766,6138.3985445625,-10142.3789874375
16200.0000000000,6311.5603689953,2.5667186960,6142.8410251247,-10187.9365068753
16250.0000000000,6316.1033282493,2.5727888154,6147.2625429189,-10233.5149890811
16300.0000000000,6320.6249010637,2.5788589349,6151.6632459715,-10279.1142860285
16350.0000000000,6325.1252381023,2.5849290543,6156.0432809187,-10324.7342510813
16400.0000000000,6329.6044886167,2.5909991737,6160.4027930224,-10370.3747389776
16450.0000000000,6334.0628004634,2.5970692932,6164.7419261865,-10416.0356058135
16500.0000000000,6338.5003201195,2.6031394126,6169.0608229726,-10461.7167090274
16550.0000000000,6342.9171926991,2.6092095320,6173.3596246158,-10507.4179073842
16600.0000000000,6347.3135619693,2.6152796515,6177.6384710397,-10553.1390609603
16650.0000000000,6351.6895703652,2.6213497709,6181.8975008721,-10598.8800311279
16700.0000000000,6356.0453590058,2.6274198903,6186.1368514596,-10644.6406805404
16750.0000000000,6360.3810677090,2.6334900097,6190.3566588825,-10690.4208731175
16800.0000000000,6364.6968350066,2.6395601292,6194.5570579694,-10736.2204740306
16850.0000000000,6368.9927981588,2.6456302486,6198.7381823112,-10782.0393496888
16900.0000000000,6373.2690931693,2.6517003680,6202.9001642761,-10827.8773677239
16950.0000000000,6377.5258547990,2.6577704875,6207.0431350225,-10873.7343969775
17000.0000000000,6381.7632165807,2.6638406069,6211.1672245137,-10919.6103074863
17050.0000000000,6385.9813108327,2.6699107263,6215.2725615309,-10965.5049704691
17100.0000000000,6390.1802686727,2.6759808458,6219.3592736868,-11011.4182583132
17150.0000000000,6394.3602200316,2.6820509652,6223.4274874389,-11057.3500445611
17200.0000000000,6398.5212936665,2.6881210846,6227.4773281025,-11103.3002038975
17250.0000000000,6402.6636171741,2.6941912041,6231.5089198634,-11149.2686121366
17300.0000000000,6406.7873170040,2.7002613235,6235.5223857908,-11195.2551462092
17350.0000000000,6410.8925184710,2.7063314429,6239.5178478500,-11241.2596841500
17400.0000000000,6414.9793457685,2.7124015624,6243.4954269140,-11287.2821050860
17450.0000000000,6419.0479219802,2.7184716818,6247.4552427767,-11333.3222892233
17500.0000000000,6423.0983690933,2.7245418012,6251.3974141641,-11379.3801178359
17550.0000000000,6427.1308080101,2.7306119207,6255.3220587466,-11425.4554732534
17600.0000000000,6431.1453585603,2.7366820401,6259.2292931507,-11471.5482388493
17650.0000000000,6435.1421395128,2.7427521595,6263.1192329703,-11517.6582990297
17700.0000000000,6439.1212685872,2.7488222790,6266.9919927783,-11563.7855392217
17750.0000000000,6443.0828624659,2.7548923984,6270.8476861378,-11609.9298458622
17800.0000000000,6447.0270368051,2.7609625178,6274.6864256133,-11656.0911063867
17850.0000000000,6450.9539062458,2.7670326373,6278.5083227815,-11702.2692092185
17900.0000000000,6454.8635844256,2.7731027567,6282.3134882420,-11748.4640437580
17950.0000000000,6458.7561839892,2.7791728761,6286.1020316284,-11794.6755003716
18000.0000000000,6462.6318165993,2.7852429955,6289.8740616183,-11840.9034703817
18050.0000000000,6466.4905929472,2.7913131150,6293.6296859443,-11887.1478460557
18100.0000000000,6470.3326227635,2.7973832344,6297.3690114036,-11933.4085205964
18150.0000000000,6474.1580148286,2.8034533538,6301.0921438686,-11979.6853881314
18200.0000000000,6477.9668769824,2.8095234733,6304.7991882966,-12025.9783437034
18250.0000000000,6481.7593161353,2.8155935927,6308.4902487399,-12072.2872832601
18300.0000000000,6485.5354382775,2.8216637121,6312.1654283555,-12118.6121036445
